,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,Aproved
54,GP,F,15,U,A,mother,1,1,0,no,yes,1,0,13,12,13,1,1
55,GP,F,16,U,A,mother,1,2,0,no,yes,2,2,12,13,12,1,1
56,GP,F,15,U,A,mother,1,2,0,no,yes,1,0,15,14,15,1,1
57,GP,M,15,U,T,mother,1,2,0,no,no,5,8,15,15,16,0,1
58,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,13,14,1,1
59,GP,F,16,U,T,mother,1,2,0,yes,yes,5,2,16,15,16,0,1
60,GP,F,16,R,T,mother,1,2,0,no,no,4,0,17,16,16,0,1
61,GP,F,16,U,T,father,4,1,0,no,yes,5,0,10,10,16,0,1
62,GP,F,16,U,T,father,1,2,0,no,yes,1,0,13,13,10,1,1
63,GP,F,16,U,T,mother,1,3,0,no,yes,4,0,14,13,13,1,1
64,GP,F,15,U,T,father,1,2,0,no,yes,2,0,13,12,12,1,1
65,GP,F,16,U,T,mother,3,2,0,no,yes,1,2,16,15,16,0,1
66,GP,M,15,U,A,mother,1,4,0,no,yes,3,0,11,12,12,1,1
67,GP,F,16,U,T,mother,1,4,0,no,yes,5,0,10,9,10,1,1
68,GP,F,15,R,T,mother,2,2,0,no,yes,4,0,11,10,11,1,1
69,GP,F,15,R,T,father,2,4,0,no,yes,3,6,15,15,15,1,1
70,GP,M,16,U,T,father,2,4,0,no,yes,5,2,13,11,11,1,1
71,GP,M,15,U,T,mother,1,4,0,no,yes,3,0,11,9,10,1,1
72,GP,F,15,R,T,mother,1,2,0,no,yes,5,2,13,11,11,1,1
73,GP,M,16,U,T,mother,1,1,0,no,no,5,0,13,13,14,1,1
74,GP,F,16,U,T,mother,1,2,0,no,yes,5,4,11,11,11,1,1
75,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,11,11,11,1,1
76,GP,M,15,U,T,mother,2,4,0,no,yes,1,0,12,11,11,1,1
77,GP,F,16,U,T,mother,1,4,0,no,yes,3,1,13,13,13,1,1
78,GP,M,17,U,T,mother,2,1,3,no,yes,3,0,9,9,10,1,1
79,GP,F,16,U,T,mother,1,2,0,no,yes,3,14,12,11,11,1,1
80,GP,M,15,U,T,father,1,1,0,no,yes,3,0,11,11,12,1,1
81,GP,M,15,U,T,mother,1,3,0,no,yes,5,2,10,9,9,1,0
82,GP,F,15,U,T,mother,1,2,0,no,yes,5,4,12,11,11,1,1
83,GP,M,15,U,T,mother,2,2,0,yes,yes,4,2,13,12,13,1,1
84,GP,F,15,U,T,father,1,2,0,no,yes,4,2,13,12,12,1,1
85,GP,F,15,U,T,father,2,2,0,no,yes,5,4,12,11,12,1,1
86,GP,F,16,U,T,mother,1,2,0,no,no,2,6,13,11,11,1,1
87,GP,F,15,U,T,mother,1,3,0,no,yes,1,4,15,15,15,1,1
88,GP,M,16,U,T,father,2,2,0,no,yes,3,6,12,10,11,1,1
89,GP,M,16,U,A,mother,1,2,0,no,no,5,6,9,9,10,1,1
90,GP,F,16,U,T,mother,1,3,0,no,yes,4,2,9,11,11,1,1
91,GP,F,15,U,T,mother,1,1,0,no,yes,1,6,14,13,13,1,1
92,GP,F,16,U,T,father,1,2,0,no,no,2,0,12,13,12,1,1
93,GP,F,16,U,T,mother,2,2,0,no,yes,1,2,13,14,14,1,1
94,GP,M,15,U,T,mother,1,4,0,no,yes,4,2,11,12,12,1,1
95,GP,F,15,R,T,mother,2,4,0,yes,yes,1,4,13,13,13,1,1
96,GP,M,16,R,T,mother,2,1,0,yes,yes,4,6,9,11,11,1,1
97,GP,F,16,U,T,mother,1,2,0,no,no,5,0,13,12,12,1,1
98,GP,F,16,U,T,mother,1,1,0,no,yes,1,4,12,13,13,1,1
99,GP,F,16,U,T,mother,1,3,0,no,yes,3,2,12,13,13,1,1
100,GP,M,16,U,T,mother,1,1,0,no,yes,4,12,9,9,8,1,1
101,GP,M,16,U,T,father,1,3,0,no,yes,4,0,16,16,16,0,1
102,GP,M,15,U,T,mother,1,1,0,yes,yes,5,2,12,13,12,1,1
103,GP,F,15,U,T,mother,2,2,0,no,yes,2,16,11,10,10,1,1
104,GP,M,15,U,A,mother,1,2,0,no,yes,1,0,16,16,16,0,1
105,GP,F,15,U,A,father,1,4,0,no,no,4,10,10,10,10,1,1
106,GP,F,15,U,T,mother,1,4,0,no,yes,3,4,10,10,10,1,1
107,GP,M,16,U,T,father,1,3,0,no,yes,5,4,13,14,14,1,1
108,GP,M,15,R,T,father,4,4,0,no,yes,1,8,12,10,11,1,1
109,GP,F,16,U,T,mother,1,3,0,no,yes,4,2,15,15,14,1,1
110,GP,M,15,U,A,mother,1,1,0,no,yes,4,4,13,14,14,1,1
111,GP,F,16,R,T,father,1,3,0,no,yes,2,4,11,11,11,1,1
112,GP,F,16,U,T,mother,1,2,1,no,yes,5,12,8,10,10,1,1
113,GP,M,15,U,T,mother,1,1,0,no,yes,3,10,18,17,18,0,1
114,GP,M,15,R,T,mother,1,2,0,no,yes,5,4,10,9,10,1,1
115,GP,M,16,U,T,father,1,2,0,no,yes,5,6,16,14,14,1,1
116,GP,M,15,U,T,father,2,2,0,no,no,2,4,16,15,16,0,1
117,GP,M,16,U,T,father,2,1,0,no,yes,5,6,14,14,15,1,1
118,GP,M,17,R,T,father,3,2,1,no,yes,5,14,12,11,11,1,1
119,GP,M,15,U,T,father,1,1,0,no,yes,4,2,14,13,14,1,1
120,GP,F,15,U,T,mother,1,2,0,no,yes,1,0,14,14,14,1,1
121,GP,M,15,U,T,father,1,4,0,no,yes,5,6,14,13,13,1,1
122,GP,F,16,U,T,father,2,2,0,no,yes,5,2,14,12,13,1,1
123,GP,M,16,U,T,mother,1,1,0,no,yes,5,4,12,13,13,1,1
124,GP,F,16,U,T,mother,1,2,0,no,yes,5,0,12,11,11,1,1
125,GP,M,15,U,T,father,1,1,0,no,yes,5,2,9,9,9,1,0
126,GP,F,15,U,A,mother,1,2,0,no,yes,1,0,10,11,11,1,1
127,GP,F,19,U,T,other,1,2,2,no,no,5,0,9,10,11,1,1
128,GP,M,16,R,T,mother,1,1,0,no,yes,4,8,14,14,15,1,1
129,GP,M,16,U,T,mother,2,3,0,no,yes,1,4,13,12,13,1,1
130,GP,F,15,R,T,father,2,3,0,no,yes,5,0,10,11,12,1,1
131,GP,F,18,U,T,mother,1,2,3,no,yes,5,10,10,9,8,1,0
132,GP,F,17,U,A,mother,3,1,0,no,yes,5,8,11,10,11,1,1
133,GP,F,15,U,T,mother,3,1,0,no,yes,4,6,11,12,13,1,1
134,GP,F,17,U,T,father,1,1,0,no,yes,5,2,13,12,12,1,1
135,GP,F,16,U,A,father,1,1,0,no,yes,5,12,15,13,14,1,1
136,GP,M,16,U,T,mother,4,1,0,no,no,2,4,9,9,11,1,1
137,GP,F,16,U,A,mother,1,1,1,no,no,5,12,13,11,11,1,1
138,GP,M,15,R,T,mother,4,2,0,no,no,5,2,12,11,11,1,1
139,GP,F,15,U,T,mother,1,3,0,no,yes,5,4,13,14,15,1,1
140,GP,M,17,R,T,mother,3,2,0,no,no,5,2,10,9,10,1,1
141,GP,F,16,R,T,mother,4,2,0,no,no,3,0,14,13,13,1,1
142,GP,M,18,U,T,mother,2,1,0,no,yes,4,2,11,11,12,1,1
143,GP,F,18,U,A,other,1,3,0,no,yes,5,10,12,11,11,1,1
144,GP,F,16,R,T,mother,2,1,0,no,no,1,8,12,11,11,1,1
145,GP,F,16,U,A,other,2,1,0,no,yes,5,4,9,9,10,1,1
146,GP,M,16,U,T,mother,1,2,2,no,no,5,0,10,10,10,1,1
147,GP,F,15,U,T,mother,2,1,0,no,yes,5,6,13,14,14,1,1
148,GP,F,15,R,T,mother,3,1,1,no,yes,1,2,8,9,9,1,0
149,GP,M,15,U,T,father,2,4,0,no,yes,3,6,9,11,11,1,1
150,GP,F,15,U,A,mother,1,2,0,no,no,1,24,9,8,9,1,1
151,GP,M,16,U,T,mother,1,3,0,no,yes,5,0,15,13,13,1,1
152,GP,M,16,U,T,father,2,1,0,no,yes,2,4,12,11,11,1,1
153,GP,F,15,U,T,mother,1,3,0,no,yes,5,2,13,13,13,1,1
154,GP,F,16,U,T,mother,1,1,0,no,yes,1,4,10,11,11,1,1
155,GP,M,17,U,T,mother,1,1,0,no,yes,5,22,9,7,6,1,1
156,GP,F,15,U,T,father,1,2,0,no,yes,5,0,12,12,12,1,1
157,GP,F,15,U,A,mother,2,1,0,no,yes,5,0,11,10,10,1,1
158,GP,F,15,U,T,father,1,2,1,no,yes,3,2,11,11,11,1,1
159,GP,F,15,U,T,mother,1,2,0,no,yes,5,6,13,12,13,1,1
160,GP,F,15,U,T,father,1,2,0,no,no,1,6,11,11,11,1,1
161,GP,M,16,U,T,mother,1,1,0,no,yes,5,16,9,9,8,1,1
162,GP,M,15,U,A,mother,4,1,0,no,yes,5,0,12,11,11,1,1
163,GP,M,18,U,T,mother,1,1,2,no,yes,4,0,11,9,0,1,0
164,GP,M,16,U,T,mother,1,1,1,no,no,5,6,9,10,10,1,1
165,GP,F,15,R,T,other,2,3,0,yes,yes,3,2,13,13,13,1,1
166,GP,M,19,U,T,mother,1,1,0,no,yes,4,6,11,9,11,1,1
167,GP,F,17,U,T,mother,1,1,0,no,no,4,0,13,13,13,1,1
168,GP,M,15,R,T,mother,1,2,0,yes,no,1,0,7,8,8,1,0
169,GP,M,17,R,T,mother,1,1,3,no,no,5,14,9,8,10,1,1
170,GP,F,18,R,T,mother,3,1,3,no,no,4,6,11,10,11,1,1
171,GP,M,16,R,T,mother,3,1,0,no,no,3,4,12,10,11,1,1
172,GP,M,16,U,T,father,1,2,1,no,yes,5,0,10,10,1,1,0
173,GP,M,16,U,T,mother,2,1,2,no,yes,5,0,9,8,10,1,1
174,GP,M,17,R,T,mother,2,1,1,yes,yes,5,8,8,8,9,1,0
175,GP,M,17,R,T,mother,2,2,2,no,yes,3,4,7,6,8,1,0
176,GP,M,15,U,T,mother,2,1,0,no,no,5,2,8,9,10,1,1
177,GP,M,16,U,T,father,1,1,1,no,yes,2,2,9,8,8,1,0
178,GP,M,17,R,T,mother,4,2,0,no,no,5,0,8,8,8,1,0
179,GP,M,17,U,T,mother,2,1,3,no,no,2,10,8,7,8,1,0
180,GP,M,16,U,T,father,1,2,0,no,yes,4,0,9,10,11,1,1
181,GP,F,16,U,T,father,1,2,0,no,yes,3,0,17,17,18,0,1
182,GP,F,16,U,T,mother,1,2,0,no,yes,4,0,12,12,13,1,1
183,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,16,16,17,0,1
184,GP,M,16,U,T,father,3,1,1,no,yes,2,4,9,9,10,1,1
185,GP,M,16,U,T,mother,2,2,0,no,yes,3,0,16,17,18,0,1
186,GP,M,17,U,T,mother,1,2,0,no,yes,5,0,11,9,10,1,1
187,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,14,13,13,1,1
188,GP,F,16,U,T,mother,2,2,0,no,yes,4,0,14,14,15,1,1
189,GP,M,17,U,T,mother,2,2,0,no,yes,4,0,10,11,11,1,1
190,GP,F,16,U,T,mother,2,2,0,no,yes,5,0,13,12,14,1,1
191,GP,M,17,U,T,father,1,2,0,no,yes,4,4,11,9,10,1,1
192,GP,M,16,R,T,mother,1,1,0,no,yes,3,8,10,9,11,1,1
193,GP,M,17,U,T,mother,1,2,0,yes,yes,2,4,11,11,13,1,1
194,GP,M,16,U,T,mother,1,2,0,yes,yes,3,4,11,10,11,1,1
195,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,11,12,13,1,1
196,GP,F,17,U,T,father,1,2,0,no,no,5,0,17,18,17,0,1
197,GP,F,17,U,T,mother,1,2,0,no,yes,1,32,14,13,14,1,1
198,GP,F,16,U,T,mother,1,2,0,no,yes,1,8,14,15,16,0,1
199,GP,M,17,U,T,mother,1,2,0,no,yes,4,6,11,13,14,1,1
200,GP,M,16,U,T,mother,1,1,0,no,yes,3,0,10,9,11,1,1
201,GP,M,16,U,T,mother,1,2,0,no,yes,5,0,13,14,16,0,1
202,GP,F,17,U,A,mother,1,2,0,no,yes,3,10,12,13,14,1,1
203,GP,M,17,R,T,mother,1,2,0,no,no,3,6,9,9,10,1,1
204,GP,F,16,U,T,mother,1,2,0,no,yes,2,6,12,12,13,1,1
205,GP,F,17,U,T,mother,1,2,0,no,yes,3,0,12,11,12,1,1
206,GP,M,17,U,T,other,2,2,0,no,yes,5,16,10,11,12,1,1
207,GP,M,16,R,T,mother,1,1,0,no,yes,5,0,11,10,10,1,1
208,GP,M,16,U,T,father,2,1,0,no,yes,3,0,13,12,12,1,1
209,GP,F,17,U,T,father,1,2,0,no,yes,5,8,14,15,16,0,1
210,GP,M,17,U,T,mother,1,1,0,no,yes,5,4,13,13,14,1,1
211,GP,M,16,R,T,father,3,1,0,no,yes,3,16,10,11,12,1,1
212,GP,F,17,U,T,mother,2,1,1,no,yes,2,30,14,15,16,0,1
213,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,11,10,11,1,1
214,GP,F,16,U,T,mother,1,2,0,no,yes,2,2,14,14,15,1,1
215,GP,F,16,U,T,mother,1,2,0,no,no,4,4,11,12,12,1,1
216,GP,F,17,U,T,mother,1,2,0,no,no,1,0,14,15,15,1,1
217,GP,F,17,R,T,mother,1,1,0,no,yes,3,21,13,13,13,1,1
218,GP,F,16,R,T,mother,2,4,0,no,yes,5,6,13,13,13,1,1
219,GP,F,17,U,T,mother,1,3,1,yes,yes,5,14,8,9,8,1,1
220,GP,F,16,U,A,mother,1,2,0,no,yes,4,2,11,11,12,1,1
221,GP,F,16,U,T,mother,1,2,0,no,yes,1,4,14,15,15,1,1
222,GP,F,16,U,T,mother,2,1,0,no,no,5,2,12,13,13,1,1
223,GP,F,17,R,T,mother,2,3,0,no,yes,4,0,11,12,12,1,1
224,GP,F,19,U,T,other,1,4,0,no,yes,3,4,12,12,12,1,1
225,GP,M,17,U,T,mother,1,2,0,no,yes,3,15,13,12,12,1,1
226,GP,F,16,U,A,mother,1,2,0,no,yes,4,0,13,13,13,1,1
227,GP,M,18,U,T,mother,1,2,0,no,yes,5,10,12,11,11,1,1
228,GP,F,17,R,T,mother,1,1,0,no,no,3,6,12,11,11,1,1
229,GP,F,17,U,T,mother,2,2,0,no,yes,1,2,14,16,15,1,1
230,GP,F,17,U,T,mother,1,2,0,no,yes,1,16,11,9,10,1,1
231,GP,M,18,U,T,father,1,2,0,no,yes,4,10,10,10,10,1,1
232,GP,F,17,U,T,father,2,1,0,no,no,3,4,12,13,13,1,1
233,GP,F,17,U,T,mother,1,3,0,no,yes,4,0,12,12,13,1,1
234,GP,F,17,R,T,mother,2,2,0,no,yes,5,0,11,10,11,1,1
235,GP,F,17,U,T,mother,1,3,0,no,no,5,12,12,12,12,1,1
236,GP,F,16,U,T,mother,1,2,0,no,yes,3,0,13,13,14,1,1
237,GP,M,18,U,T,mother,2,2,3,yes,yes,4,9,10,9,10,1,1
238,GP,F,16,U,T,mother,1,3,0,no,yes,5,4,15,16,16,0,1
239,GP,F,18,R,T,mother,1,2,0,no,yes,4,4,8,8,8,1,0
240,GP,F,17,U,T,mother,1,2,0,no,yes,3,2,17,18,17,0,1
241,GP,M,17,U,T,father,1,2,0,no,yes,3,0,10,11,11,1,1
242,GP,M,18,U,T,mother,4,2,0,no,yes,3,2,9,10,11,1,1
243,GP,F,17,U,A,mother,2,3,0,no,yes,3,0,15,15,16,0,1
244,GP,F,17,U,T,father,1,2,0,no,yes,3,0,14,12,12,1,1
245,GP,M,17,R,T,father,2,2,0,no,yes,1,0,12,13,13,1,1
246,GP,M,17,U,T,mother,1,2,0,no,yes,2,0,13,13,13,1,1
247,GP,M,16,U,T,father,1,2,0,no,yes,1,0,13,13,14,1,1
248,GP,M,16,U,T,mother,2,2,0,no,yes,5,2,9,9,9,1,0
249,GP,M,16,U,T,mother,2,3,0,no,yes,2,0,12,12,12,1,1
250,GP,M,17,U,T,father,1,2,0,no,yes,4,0,16,16,16,0,1
251,GP,F,16,U,T,mother,1,1,0,no,yes,5,4,9,10,10,1,1
252,GP,F,16,U,A,mother,1,2,0,no,yes,5,0,14,13,13,1,1
253,GP,F,18,U,A,mother,2,2,1,no,yes,3,18,10,10,10,1,1
254,GP,F,18,U,T,mother,1,2,1,no,yes,5,16,9,8,10,1,1
255,GP,F,18,U,T,mother,2,1,1,no,yes,3,14,8,7,7,1,1
256,GP,M,18,U,T,other,1,1,1,no,yes,1,26,7,8,8,1,1
257,GP,M,17,U,T,mother,1,1,0,no,yes,5,6,10,8,9,1,0
258,GP,F,17,U,T,father,1,2,0,no,no,3,4,14,14,15,1,1
259,GP,F,17,U,T,mother,1,3,0,no,yes,4,10,11,10,10,1,1
260,GP,F,16,U,T,mother,1,1,0,no,yes,5,4,12,11,11,1,1
261,GP,F,17,R,T,mother,3,2,0,no,no,3,2,13,13,13,1,1
262,GP,F,17,R,A,other,4,1,1,no,yes,5,14,9,9,8,1,1
263,GP,M,18,U,T,father,1,2,0,no,yes,2,16,8,7,8,1,1
264,GP,F,17,U,A,mother,1,1,1,no,yes,1,8,11,9,10,1,1
265,GP,F,17,R,T,mother,2,3,0,no,yes,5,4,15,14,15,1,1
266,GP,F,17,U,A,mother,1,2,0,no,no,4,4,15,14,14,1,1
267,GP,M,17,U,T,mother,2,2,0,no,yes,5,8,15,15,15,1,1
268,GP,M,17,R,A,mother,2,2,0,no,yes,4,0,12,12,12,1,1
269,GP,M,16,U,T,mother,1,1,0,no,yes,3,7,14,14,15,1,1
270,GP,M,16,U,T,mother,1,1,0,yes,yes,5,4,14,15,15,1,1
271,GP,F,17,U,T,mother,1,2,0,yes,yes,5,2,11,11,12,1,1
272,GP,M,17,R,T,father,2,3,0,no,yes,1,2,13,14,15,1,1
273,GP,F,17,U,T,mother,2,3,0,no,yes,5,10,11,11,11,1,1
274,GP,F,17,U,T,mother,1,2,0,no,no,4,10,10,9,10,1,1
275,GP,F,18,U,T,other,2,3,0,no,yes,3,10,12,10,11,1,1
276,GP,M,16,U,T,mother,3,1,0,no,yes,4,7,15,16,16,0,1
277,GP,F,17,U,T,father,1,2,0,no,no,5,4,11,10,11,1,1
278,GP,M,17,U,T,father,2,1,0,no,yes,2,2,9,12,13,1,1
279,GP,M,22,U,T,mother,1,1,3,no,yes,1,12,7,8,5,1,1
280,GP,M,18,R,T,mother,1,2,0,no,yes,5,8,10,9,10,1,1
281,GP,M,16,U,T,mother,1,1,0,no,yes,5,0,11,12,11,1,1
282,GP,M,18,U,T,mother,2,1,0,no,yes,5,8,7,8,7,1,0
283,GP,M,16,U,T,other,3,2,1,no,yes,2,4,9,11,10,1,1
284,GP,M,18,U,T,mother,1,1,2,no,yes,5,4,7,8,6,1,0
285,GP,M,16,R,T,mother,2,1,0,no,no,3,2,14,13,12,1,1
286,GP,M,17,R,T,mother,1,1,0,no,yes,5,0,12,12,13,1,1
287,GP,M,17,U,T,mother,2,1,1,no,yes,5,0,9,10,10,1,1
288,GP,F,18,U,A,mother,1,2,0,no,yes,5,2,12,12,13,1,1
289,GP,F,17,U,T,mother,1,4,0,no,yes,4,2,14,15,17,0,1
290,GP,F,19,U,T,mother,1,2,0,no,yes,5,0,10,10,11,1,1
291,GP,M,18,U,T,mother,3,2,1,no,yes,5,4,11,10,11,1,1
292,GP,F,17,R,T,mother,1,3,0,no,yes,5,2,11,12,14,1,1
293,GP,F,18,U,T,mother,1,3,0,no,no,3,4,11,12,14,1,1
294,GP,F,18,R,T,mother,1,2,0,no,no,5,4,11,11,13,1,1
295,GP,M,19,U,A,mother,1,2,0,no,yes,1,4,11,13,14,1,1
296,GP,M,18,U,T,mother,1,2,0,no,yes,4,2,16,16,16,0,1
297,GP,M,17,R,T,mother,2,1,0,no,no,4,0,9,10,10,1,1
298,GP,F,17,U,T,father,1,4,0,no,yes,2,2,10,11,12,1,1
299,GP,F,20,R,T,other,2,2,0,yes,yes,2,8,10,12,12,1,1
300,GP,F,18,U,T,father,1,2,0,no,yes,2,2,15,15,15,1,1
301,GP,M,18,U,T,mother,1,2,0,no,yes,3,2,10,10,11,1,1
302,GP,M,18,R,T,mother,1,3,0,no,no,3,2,10,11,12,1,1
303,GP,F,17,U,T,mother,1,3,0,no,no,4,2,15,12,13,1,1
304,GP,F,18,U,T,mother,1,3,0,no,yes,3,0,11,12,13,1,1
305,GP,M,17,U,T,father,2,1,0,no,yes,4,8,8,8,9,1,0
306,GP,M,18,R,A,mother,2,2,0,no,yes,1,6,15,16,16,0,1
307,GP,M,17,U,T,mother,1,2,0,no,yes,5,0,11,11,14,1,1
308,GP,F,18,R,T,mother,2,2,0,no,yes,4,8,10,11,12,1,1
309,GP,M,18,U,T,father,1,2,0,no,yes,5,4,10,12,14,1,1
310,GP,F,18,R,T,mother,2,2,0,no,yes,3,12,8,9,10,1,1
311,GP,F,19,U,T,other,1,2,0,no,yes,5,16,11,12,12,1,1
312,GP,F,18,U,T,father,1,4,0,no,yes,2,10,16,16,16,0,1
313,GP,F,18,U,T,mother,2,2,0,no,no,3,2,13,13,13,1,1
314,GP,M,17,R,T,mother,1,2,0,no,no,1,2,16,17,18,0,1
315,GP,F,18,U,T,mother,1,2,0,no,yes,1,8,14,14,15,1,1
316,GP,F,17,U,T,mother,2,2,0,no,yes,1,6,15,16,16,0,1
317,GP,F,17,U,T,mother,2,2,0,no,yes,5,6,12,12,12,1,1
318,GP,F,18,R,A,mother,2,2,0,no,yes,5,15,12,9,10,1,1
319,GP,M,18,U,T,mother,2,1,0,no,yes,3,6,11,12,12,1,1
320,GP,F,18,U,T,father,1,2,1,no,yes,4,2,14,12,13,1,1
321,GP,F,17,U,T,father,3,3,0,no,yes,1,8,13,15,15,1,1
322,GP,F,19,R,T,father,1,2,1,no,yes,3,0,9,8,10,1,1
323,GP,M,18,U,T,mother,2,1,0,no,yes,1,0,10,10,10,1,1
324,GP,M,18,U,T,other,2,1,0,no,yes,4,10,10,10,11,1,1
325,GP,M,17,U,A,mother,2,1,0,no,yes,5,22,11,11,10,1,1
326,GP,M,17,U,A,mother,1,1,0,no,yes,3,18,13,13,13,1,1
327,GP,F,18,R,T,mother,2,4,0,no,no,3,2,17,17,18,0,1
328,GP,F,18,U,T,mother,2,2,0,no,yes,4,0,12,13,13,1,1
329,GP,F,17,U,T,mother,1,2,0,no,yes,5,12,12,12,14,1,1
330,GP,F,18,U,T,mother,2,2,0,no,yes,5,10,12,13,14,1,1
331,GP,M,17,U,T,father,1,2,0,no,yes,4,0,12,12,12,1,1
332,GP,F,18,U,T,mother,1,3,0,no,yes,2,0,18,18,18,0,1
333,GP,F,17,U,T,mother,1,3,0,no,yes,3,0,13,13,14,1,1
334,GP,M,18,U,T,mother,1,3,0,no,yes,2,0,14,15,15,1,1
335,GP,M,18,U,A,mother,1,2,0,no,yes,2,0,17,17,17,0,1
336,GP,M,18,U,T,mother,1,2,0,no,yes,5,2,15,16,16,0,1
337,GP,F,17,U,T,mother,1,3,0,no,yes,3,0,17,18,18,0,1
338,GP,F,17,R,T,mother,2,4,0,no,no,3,0,18,19,19,0,1
339,GP,M,18,R,T,mother,2,3,0,no,yes,4,0,14,15,15,1,1
340,GP,M,17,U,T,mother,1,1,0,no,yes,5,0,14,15,15,1,1
